priority	source	layer	state	path	title
98	core-live	memory-layers	current	/Users/syoo1/SYOO1-Core/brain/MEMORY-LAYERS.md	MEMORY-LAYERS
100	core-live	inner-memory	current	/Users/syoo1/SYOO1-Core/brain/INNER-MEMORY.md	INNER-MEMORY
92	pg-live	mainline	current	/Users/syoo1/SYOO1-PG/brain/02-MAINLINE/CURRENT.md	PG MAINLINE CURRENT
92	pg-live	mainline	current	/Users/syoo1/SYOO1-PG/brain/02-MAINLINE/CURRENT-REALITY.md	PG 自动触发当前现实
88	pg-live	pg-memory-index	current	/Users/syoo1/SYOO1-PG/brain/03-LONGTERM/MEMORY/INDEX.md	PG Memory Index
88	02-snapshot	mainline	current	/Users/syoo1/System-Snapshots/02-brain/02-MAINLINE/ACTIVE-THREADS.md	ACTIVE-THREADS
88	02-snapshot	mainline	current	/Users/syoo1/System-Snapshots/02-brain/02-MAINLINE/STAGE-SUMMARY-01.md	STAGE-SUMMARY-01
88	02-snapshot	mainline	current	/Users/syoo1/System-Snapshots/02-brain/02-MAINLINE/CURRENT.md	CURRENT
88	02-snapshot	mainline	current	/Users/syoo1/System-Snapshots/02-brain/02-MAINLINE/OPEN-QUESTIONS.md	OPEN-QUESTIONS
88	02-snapshot	mainline	current	/Users/syoo1/System-Snapshots/02-brain/02-MAINLINE/CURRENT-STAGE.md	CURRENT-STAGE
